date,value
2018-03-06,23.166
2018-03-07,23.406
2018-03-08,23.218
2018-03-09,22.881
2018-03-12,22.982
2018-03-13,22.918
2018-03-14,22.978
2018-03-15,23.064
2018-03-16,23.038
2018-03-19,23.187
2018-03-20,23.009
2018-03-21,22.788
2018-03-22,22.776
2018-03-23,22.88
2018-03-26,22.878
2018-03-27,22.79
2018-03-28,22.772
2018-03-29,22.525
2018-04-03,22.394
2018-04-04,22.52
2018-04-05,22.179
2018-04-06,22.332
2018-04-09,22.588
2018-04-10,22.578
2018-04-11,22.653
2018-04-12,22.382
2018-04-13,22.316
2018-04-16,22.34
2018-04-17,22.208
2018-04-18,22.267
2018-04-19,22.467
2018-04-20,22.742
2018-04-23,22.9
2018-04-24,22.999
2018-04-25,23.219
2018-04-26,22.845
2018-04-27,22.693
2018-04-30,22.598
2018-05-02,22.748
2018-05-03,22.816
2018-05-04,22.928
2018-05-07,23.022
2018-05-08,23.179
2018-05-09,23.204
2018-05-10,23.056
2018-05-11,22.98
2018-05-14,23.185
2018-05-15,23.44
2018-05-16,23.284
2018-05-17,23.168
2018-05-18,23.298
2018-05-21,23.522
2018-05-22,23.284
2018-05-23,23.355
2018-05-24,23.095
2018-05-25,22.888
2018-05-28,22.765
2018-05-29,22.824
2018-05-30,22.882
2018-05-31,23.246
2018-06-01,23.283
2018-06-04,23.366
2018-06-05,23.798
2018-06-06,23.969
2018-06-07,24.054
2018-06-08,24.077
2018-06-11,24.068
2018-06-12,24.287
2018-06-13,24.314
2018-06-14,24.064
2018-06-15,24.09
2018-06-18,23.974
2018-06-19,23.845
2018-06-20,23.679
2018-06-21,23.529
2018-06-22,23.547
2018-06-25,23.446
2018-06-26,23.237
2018-06-27,23.182
2018-06-28,23.292
2018-06-29,22.882
2018-07-02,23.332
2018-07-03,22.945
2018-07-04,22.679
2018-07-05,22.583
2018-07-06,22.466
2018-07-09,22.436
2018-07-10,22.412
2018-07-11,22.362
2018-07-12,22.086
2018-07-13,22.177
2018-07-16,22.034
2018-07-17,22.173
2018-07-18,22.078
2018-07-19,22.107
2018-07-20,22.157
2018-07-23,22.374
2018-07-24,22.045
2018-07-25,21.943
2018-07-26,21.902
2018-07-27,21.671
2018-07-30,21.716
2018-07-31,21.782
2018-08-01,21.804
2018-08-02,21.792
2018-08-03,21.63
2018-08-06,21.448
2018-08-07,21.361
2018-08-08,21.447
2018-08-09,21.545
2018-08-10,21.653
2018-08-13,21.895
2018-08-14,21.652
2018-08-15,21.674
2018-08-16,21.697
2018-08-17,21.783
2018-08-20,21.63
2018-08-21,21.78
2018-08-22,21.882
2018-08-23,21.744
2018-08-24,21.919
2018-08-27,21.81
2018-08-28,21.95
2018-08-29,22.325
2018-08-30,22.236
2018-08-31,22.363
2018-09-03,22.308
2018-09-04,22.455
2018-09-05,22.66
2018-09-06,22.365
2018-09-07,22.233
2018-09-10,22.317
2018-09-11,22.35
2018-09-12,22.176
2018-09-13,22.034
2018-09-14,21.98
2018-09-17,21.971
2018-09-18,22.067
2018-09-19,21.868
2018-09-20,22.023
2018-09-21,22.213
2018-09-24,22.185
2018-09-25,22.37
2018-09-26,22.338
2018-09-27,22.089
2018-09-28,21.78
2018-10-01,21.563
2018-10-02,21.663
2018-10-03,21.682
2018-10-04,21.91
2018-10-05,21.88
2018-10-08,21.636
2018-10-09,21.723
2018-10-10,21.944
2018-10-11,22.101
2018-10-12,21.843
2018-10-15,21.819
2018-10-16,21.775
2018-10-17,21.727
2018-10-18,21.814
2018-10-19,21.891
2018-10-22,22.182
2018-10-23,22.247
2018-10-24,22.029
2018-10-25,22.255
2018-10-26,22.182
2018-10-29,22.363
2018-10-30,22.751
2018-10-31,22.903
2018-11-01,22.992
2018-11-02,22.84
2018-11-05,22.851
2018-11-06,22.774
2018-11-07,22.633
2018-11-08,22.686
2018-11-09,23.0
2018-11-12,22.837
2018-11-13,23.015
2018-11-14,23.08
2018-11-15,23.066
2018-11-16,23.057
2018-11-19,23.166
2018-11-20,23.303
2018-11-21,23.118
2018-11-22,23.066
2018-11-23,23.098
2018-11-26,23.211
2018-11-27,23.178
2018-11-28,23.058
2018-11-29,23.016
2018-11-30,23.091
2018-12-03,22.713
2018-12-04,23.206
2018-12-05,23.228
2018-12-06,23.364
2018-12-07,23.144
2018-12-10,23.132
2018-12-11,23.021
2018-12-12,22.764
2018-12-13,22.903
2018-12-14,23.021
2018-12-17,22.83
2018-12-18,22.829
2018-12-19,22.874
2018-12-20,22.776
2018-12-21,22.755
2018-12-24,22.655
2018-12-27,22.628
2018-12-28,22.555
2018-12-31,22.492
2019-01-02,22.394
2019-01-03,22.238
2019-01-04,22.308
2019-01-07,22.12
2019-01-08,22.16
2019-01-09,22.101
2019-01-10,22.128
2019-01-11,22.076
2019-01-14,21.983
2019-01-15,21.732
2019-01-16,21.638
2019-01-17,21.64
2019-01-18,21.71
2019-01-21,21.78
2019-01-22,21.78
2019-01-23,21.755
2019-01-24,21.603
2019-01-25,21.455
2019-01-28,21.727
2019-01-29,21.715
2019-01-30,21.825
2019-01-31,21.9
2019-02-01,21.946
2019-02-04,21.938
2019-02-05,21.741
2019-02-06,21.762
2019-02-07,21.739
2019-02-08,21.603
2019-02-11,21.591
2019-02-12,21.739
2019-02-13,21.879
