date,value
2016-12-29,0.95666
2016-12-30,0.94868
2017-01-02,0.95557
2017-01-03,0.96293
2017-01-04,0.95813
2017-01-05,0.95229
2017-01-06,0.94438
2017-01-09,0.95093
2017-01-10,0.94634
2017-01-11,0.95211
2017-01-12,0.93642
2017-01-13,0.938
2017-01-16,0.94393
2017-01-17,0.93598
2017-01-18,0.93773
2017-01-19,0.93738
2017-01-20,0.94056
2017-01-23,0.93327
2017-01-24,0.93041
2017-01-25,0.93084
2017-01-26,0.93458
2017-01-27,0.93624
2017-01-30,0.94073
2017-01-31,0.9298
2017-02-01,0.92678
2017-02-02,0.92524
2017-02-03,0.93101
2017-02-06,0.93353
2017-02-07,0.93677
2017-02-08,0.93765
2017-02-09,0.93528
2017-02-10,0.94082
2017-02-13,0.94082
2017-02-14,0.94135
2017-02-15,0.94742
2017-02-16,0.93879
2017-02-17,0.93897
2017-02-20,0.94197
2017-02-21,0.94904
2017-02-22,0.9512
2017-02-23,0.94581
2017-02-24,0.9426
2017-02-27,0.94455
2017-02-28,0.94366
2017-03-01,0.9494
2017-03-02,0.95111
2017-03-03,0.94652
2017-03-06,0.94411
2017-03-07,0.94554
2017-03-08,0.94733
2017-03-09,0.94778
2017-03-10,0.94286
2017-03-13,0.93782
2017-03-14,0.94065
2017-03-15,0.94144
2017-03-16,0.93231
2017-03-17,0.93136
2017-03-20,0.93006
2017-03-21,0.92575
2017-03-22,0.92533
2017-03-23,0.92713
2017-03-24,0.9255
2017-03-27,0.91836
2017-03-28,0.9209
2017-03-29,0.93041
2017-03-30,0.93136
2017-03-31,0.93537
2017-04-03,0.938
2017-04-04,0.93888
2017-04-05,0.9365
2017-04-06,0.93756
2017-04-07,0.94073
2017-04-10,0.94536
2017-04-11,0.94197
2017-04-12,0.94295
2017-04-13,0.94073
2017-04-18,0.93615
2017-04-19,0.9324
2017-04-20,0.93067
2017-04-21,0.93475
2017-04-24,0.92183
2017-04-25,0.91819
2017-04-26,0.91802
2017-04-27,0.91903
2017-04-28,0.91491
2017-05-02,0.91617
2017-05-03,0.91583
2017-05-04,0.91516
2017-05-05,0.91233
2017-05-08,0.91424
2017-05-09,0.91844
2017-05-10,0.91895
2017-05-11,0.92081
2017-05-12,0.91946
2017-05-15,0.91141
2017-05-16,0.90424
2017-05-17,0.89952
2017-05-18,0.89855
2017-05-19,0.89453
2017-05-22,0.88944
2017-05-23,0.89166
2017-05-24,0.89342
2017-05-25,0.89174
2017-05-26,0.89318
2017-05-29,0.89381
2017-05-30,0.89501
2017-05-31,0.89119
2017-06-01,0.89135
2017-06-02,0.8915
2017-06-05,0.88897
2017-06-06,0.88826
2017-06-07,0.8915
2017-06-08,0.89055
2017-06-09,0.89477
2017-06-12,0.89119
2017-06-13,0.8915
2017-06-14,0.89262
2017-06-15,0.89558
2017-06-16,0.8955
2017-06-19,0.89294
2017-06-20,0.89638
2017-06-21,0.8971
2017-06-22,0.89534
2017-06-23,0.89501
2017-06-26,0.89389
2017-06-27,0.88668
2017-06-28,0.87912
2017-06-29,0.87619
2017-06-30,0.87627
2017-07-03,0.87958
2017-07-04,0.88082
2017-07-05,0.88269
