fecha,tipo,Descriptores,valor
2006-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2006-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.604312034904311
2007-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19745597.365
2007-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,1.9781805516775817
2007-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,99.99999999999996
2007-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,1.978180551677568
2007-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20509471.918
2007-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,1.9554422266277955
2007-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2007-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,1.9554422266278104
2007-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20266835.203
2007-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.171940166663248
2007-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2007-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.171940166663237
2007-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20482204.664999995
2007-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.203942418693373
2007-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.00000000000004
2007-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.203942418693378
2008-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19902921.79
2008-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,0.7967569787423372
2008-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2008-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,0.7967569787423342
2008-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20998503.91
2008-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.384420203285714
2008-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2008-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.384420203285701
2008-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20495872.627
2008-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,1.1301094705012955
2008-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2008-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,1.1301094705013266
2008-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20370948.404
2008-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-0.5431849882357227
2008-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2008-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-0.5431849882357381
2009-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18537259.15
2009-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-6.861618883947799
2009-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.00000000000004
2009-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-6.861618883947794
2009-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,18827563.207
2009-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-10.338549414304438
2009-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2009-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-10.338549414304444
2009-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19292209.618
2009-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-5.872709256664507
2009-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2009-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-5.872709256664532
2009-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19963698.742
2009-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,-1.9991688846457123
2009-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2009-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,-1.9991688846457096
2010-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,19371870.87
2010-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.5023469394611055
2010-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2010-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.502346939461112
2010-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20180561.281000003
2010-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,7.186262285376202
2010-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2010-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,7.186262285376167
2010-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20200797.993
2010-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.709612807401115
2010-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2010-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.709612807401129
2010-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20676573.450000003
2010-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.570854866188938
2010-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2010-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.570854866188904
2011-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20091352.134
2011-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.7140515174206423
2011-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2011-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.714051517420629
2011-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20682934.148
2011-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,2.489389962968886
2011-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2011-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,2.4893899629688887
2011-09-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,20950181.654
2011-09-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.709673554775776
2011-09-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2011-09-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.7096735547757897
2011-12-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,21475374.341
2011-12-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,3.863313681697079
2011-12-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2011-12-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,3.863313681697095
2012-03-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,21083780.264
2012-03-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.939578597701981
2012-03-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2012-03-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.939578597701964
2012-06-01,constante,Millones de pesos a precios de 2018 B.1bP---Producto interno bruto C1,21522112.932
2012-06-01,constante,Variación porcentual anual B.1bP---Producto interno bruto C1,4.057348817121991
2012-06-01,constante,Estructura porcentual B.1bP---Producto interno bruto C1,100.0
2012-06-01,constante,Contribución a la variación nacional B.1bP---Producto interno bruto C1,4.057348817121999
